concept_name,table_name,field_name,concept_with_context
"Donor Lymphocyte Infusion|FLAG-IDA (Cytarabine, Filgrastim, Fludarabine, Idarubicin)|Azacitidine|MEC (Cytarabine, Etoposide, Mitoxantrone)|Decitabine|Busulfan, Cyclophosphamide",treatment,list_unique_chemotherapy_treatment_regimens,"treatment_list_unique_chemotherapy_treatment_regimens_Donor Lymphocyte Infusion|FLAG-IDA (Cytarabine, Filgrastim, Fludarabine, Idarubicin)|Azacitidine|MEC (Cytarabine, Etoposide, Mitoxantrone)|Decitabine|Busulfan, Cyclophosphamide"
"Cyclophosphamide, Fludarabine, TBI|Venetoclax (ABT-199), Azacitidine",treatment,list_unique_chemotherapy_treatment_regimens,"treatment_list_unique_chemotherapy_treatment_regimens_Cyclophosphamide, Fludarabine, TBI|Venetoclax (ABT-199), Azacitidine"
"7+3 (Cytarabine, Idarubicin)|HiDAC|Binimetinib (MEK162)",treatment,list_unique_chemotherapy_treatment_regimens,"treatment_list_unique_chemotherapy_treatment_regimens_7+3 (Cytarabine, Idarubicin)|HiDAC|Binimetinib (MEK162)"
"Decitabine, ABT-199|Hydroxyurea",treatment,list_unique_chemotherapy_treatment_regimens,"treatment_list_unique_chemotherapy_treatment_regimens_Decitabine, ABT-199|Hydroxyurea"
"HiDAC|FLAG-IDA (Cytarabine, Filgrastim, Fludarabine, Idarubicin)|MEC (Cytarabine, Etoposide, Mitoxantrone)",treatment,list_unique_chemotherapy_treatment_regimens,"treatment_list_unique_chemotherapy_treatment_regimens_HiDAC|FLAG-IDA (Cytarabine, Filgrastim, Fludarabine, Idarubicin)|MEC (Cytarabine, Etoposide, Mitoxantrone)"
AG-221|Decitabine,treatment,list_unique_chemotherapy_treatment_regimens,treatment_list_unique_chemotherapy_treatment_regimens_AG-221|Decitabine
AG-221|Hydroxyurea,treatment,list_unique_chemotherapy_treatment_regimens,treatment_list_unique_chemotherapy_treatment_regimens_AG-221|Hydroxyurea
"7+3 (Cytarabine, Idarubicin)|Azacitidine, Lenalidomide|Rituximab",treatment,list_unique_chemotherapy_treatment_regimens,"treatment_list_unique_chemotherapy_treatment_regimens_7+3 (Cytarabine, Idarubicin)|Azacitidine, Lenalidomide|Rituximab"
"Bu/Cy/ATG|7+3 (Cytarabine, Idarubicin)|HiDAC",treatment,list_unique_chemotherapy_treatment_regimens,"treatment_list_unique_chemotherapy_treatment_regimens_Bu/Cy/ATG|7+3 (Cytarabine, Idarubicin)|HiDAC"
"7+3 (Cytarabine, Idarubicin)|Azacitidine, Itacitinib|Azacitidine|Decitabine",treatment,list_unique_chemotherapy_treatment_regimens,"treatment_list_unique_chemotherapy_treatment_regimens_7+3 (Cytarabine, Idarubicin)|Azacitidine, Itacitinib|Azacitidine|Decitabine"
"GCLAM (G-CSF, Cladribine, Cytarabine, and Mitoxantrone) |7+3 (Cytarabine, Idarubicin)|HiDAC|MEC (Cytarabine, Etoposide, Mitoxantrone)|Decitabine|Fludarabine, Cyclophosphamide, TBI",treatment,list_unique_chemotherapy_treatment_regimens,"treatment_list_unique_chemotherapy_treatment_regimens_GCLAM (G-CSF, Cladribine, Cytarabine, and Mitoxantrone) |7+3 (Cytarabine, Idarubicin)|HiDAC|MEC (Cytarabine, Etoposide, Mitoxantrone)|Decitabine|Fludarabine, Cyclophosphamide, TBI"
"HiDAC|GCLAC (GCSF, Clofarabine & Cytarabine)|SWOG S1203 (7+3 +/- Vorinostat)|MEC, Lenalidomide|Etoposide, Cytarabine",treatment,list_unique_chemotherapy_treatment_regimens,"treatment_list_unique_chemotherapy_treatment_regimens_HiDAC|GCLAC (GCSF, Clofarabine & Cytarabine)|SWOG S1203 (7+3 +/- Vorinostat)|MEC, Lenalidomide|Etoposide, Cytarabine"
"7+3 (Cytarabine, Idarubicin)|GCLAC (GCSF, Clofarabine & Cytarabine)",treatment,list_unique_chemotherapy_treatment_regimens,"treatment_list_unique_chemotherapy_treatment_regimens_7+3 (Cytarabine, Idarubicin)|GCLAC (GCSF, Clofarabine & Cytarabine)"
"AG-120|MEC (Cytarabine, Etoposide, Mitoxantrone)|Sorafenib|Hydroxyurea",treatment,list_unique_chemotherapy_treatment_regimens,"treatment_list_unique_chemotherapy_treatment_regimens_AG-120|MEC (Cytarabine, Etoposide, Mitoxantrone)|Sorafenib|Hydroxyurea"
"Cytarabine|Decitabine|PF-04449913 (Hedgehog Inhibitor), LDAC",treatment,list_unique_chemotherapy_treatment_regimens,"treatment_list_unique_chemotherapy_treatment_regimens_Cytarabine|Decitabine|PF-04449913 (Hedgehog Inhibitor), LDAC"
"FLX925|Azacitidine, Lenalidomide|Venetoclax (ABT-199)",treatment,list_unique_chemotherapy_treatment_regimens,"treatment_list_unique_chemotherapy_treatment_regimens_FLX925|Azacitidine, Lenalidomide|Venetoclax (ABT-199)"
AG-221|Azacitidine|Clofarabine,treatment,list_unique_chemotherapy_treatment_regimens,treatment_list_unique_chemotherapy_treatment_regimens_AG-221|Azacitidine|Clofarabine
"Venetoclax (ABT-199), Azacitidine",treatment,list_unique_chemotherapy_treatment_regimens,"treatment_list_unique_chemotherapy_treatment_regimens_Venetoclax (ABT-199), Azacitidine"
"7+3 (Cytarabine, Idarubicin)|Azacitidine|Clofarabine, Cytarabine",treatment,list_unique_chemotherapy_treatment_regimens,"treatment_list_unique_chemotherapy_treatment_regimens_7+3 (Cytarabine, Idarubicin)|Azacitidine|Clofarabine, Cytarabine"
"7+3 (Cytarabine, Idarubicin)|HiDAC|Azacitidine",treatment,list_unique_chemotherapy_treatment_regimens,"treatment_list_unique_chemotherapy_treatment_regimens_7+3 (Cytarabine, Idarubicin)|HiDAC|Azacitidine"
"7+3 (Cytarabine, Idarubicin)|Cytarabine|MEC (Cytarabine, Etoposide, Mitoxantrone)",treatment,list_unique_chemotherapy_treatment_regimens,"treatment_list_unique_chemotherapy_treatment_regimens_7+3 (Cytarabine, Idarubicin)|Cytarabine|MEC (Cytarabine, Etoposide, Mitoxantrone)"
"FLAG-IDA (Cytarabine, Filgrastim, Fludarabine, Idarubicin)|Azacitidine|SWOG S1203 (7+3 +/- Vorinostat)",treatment,list_unique_chemotherapy_treatment_regimens,"treatment_list_unique_chemotherapy_treatment_regimens_FLAG-IDA (Cytarabine, Filgrastim, Fludarabine, Idarubicin)|Azacitidine|SWOG S1203 (7+3 +/- Vorinostat)"
"7+3 (Cytarabine, Idarubicin)|FLAG-IDA (Cytarabine, Filgrastim, Fludarabine, Idarubicin)",treatment,list_unique_chemotherapy_treatment_regimens,"treatment_list_unique_chemotherapy_treatment_regimens_7+3 (Cytarabine, Idarubicin)|FLAG-IDA (Cytarabine, Filgrastim, Fludarabine, Idarubicin)"
"Busulfan, Fludarabine|7+3 (Cytarabine, Idarubicin)|HiDAC|Azacitidine|Sorafenib",treatment,list_unique_chemotherapy_treatment_regimens,"treatment_list_unique_chemotherapy_treatment_regimens_Busulfan, Fludarabine|7+3 (Cytarabine, Idarubicin)|HiDAC|Azacitidine|Sorafenib"
"COG-AAML1031 (IT/IV Cytarabine, Daunorubicin, Etoposide, Mitoxantrone +/- Bortezomib or Sorafenib)|Cytarabine, Mitoxantrone|Etoposide, Cytarabine",treatment,list_unique_chemotherapy_treatment_regimens,"treatment_list_unique_chemotherapy_treatment_regimens_COG-AAML1031 (IT/IV Cytarabine, Daunorubicin, Etoposide, Mitoxantrone +/- Bortezomib or Sorafenib)|Cytarabine, Mitoxantrone|Etoposide, Cytarabine"
"7+3 (Cytarabine, Idarubicin) plus Crenolanib",treatment,list_unique_chemotherapy_treatment_regimens,"treatment_list_unique_chemotherapy_treatment_regimens_7+3 (Cytarabine, Idarubicin) plus Crenolanib"
"7+3 (Cytarabine, Idarubicin)|HiDAC|Cytarabine|TBI, VP-16",treatment,list_unique_chemotherapy_treatment_regimens,"treatment_list_unique_chemotherapy_treatment_regimens_7+3 (Cytarabine, Idarubicin)|HiDAC|Cytarabine|TBI, VP-16"
"HiDAC|7+3 (Cytarabine, Idarubicin) plus Sorafenib|Fludarabine, Cyclophosphamide, Thiotepa, TBI",treatment,list_unique_chemotherapy_treatment_regimens,"treatment_list_unique_chemotherapy_treatment_regimens_HiDAC|7+3 (Cytarabine, Idarubicin) plus Sorafenib|Fludarabine, Cyclophosphamide, Thiotepa, TBI"
"ATRA, Arsenic Trioxide|ATRA, 6-MP, Methotrexate|Methotrexate",treatment,list_unique_chemotherapy_treatment_regimens,"treatment_list_unique_chemotherapy_treatment_regimens_ATRA, Arsenic Trioxide|ATRA, 6-MP, Methotrexate|Methotrexate"
"7+3 (Cytarabine, Idarubicin)|HiDAC|Donor Lymphocyte Infusion|FLAG-IDA (Cytarabine, Filgrastim, Fludarabine, Idarubicin)|MEC (Cytarabine, Etoposide, Mitoxantrone)|Cytarabine, Mitoxantrone|Busulfan, Cyclophosphamide",treatment,list_unique_chemotherapy_treatment_regimens,"treatment_list_unique_chemotherapy_treatment_regimens_7+3 (Cytarabine, Idarubicin)|HiDAC|Donor Lymphocyte Infusion|FLAG-IDA (Cytarabine, Filgrastim, Fludarabine, Idarubicin)|MEC (Cytarabine, Etoposide, Mitoxantrone)|Cytarabine, Mitoxantrone|Busulfan, Cyclophosphamide"
"AG-221|Donor Lymphocyte Infusion|GCLAC (GCSF, Clofarabine & Cytarabine)|Azacitidine|7+3 (Cytarabine, Idarubicin) plus Sorafenib|Busulfan, Cyclophosphamide",treatment,list_unique_chemotherapy_treatment_regimens,"treatment_list_unique_chemotherapy_treatment_regimens_AG-221|Donor Lymphocyte Infusion|GCLAC (GCSF, Clofarabine & Cytarabine)|Azacitidine|7+3 (Cytarabine, Idarubicin) plus Sorafenib|Busulfan, Cyclophosphamide"
"Vincristine, Dexamethasone",treatment,list_unique_chemotherapy_treatment_regimens,"treatment_list_unique_chemotherapy_treatment_regimens_Vincristine, Dexamethasone"
"7+3 (Cytarabine, Idarubicin)|HiDAC|Decitabine",treatment,list_unique_chemotherapy_treatment_regimens,"treatment_list_unique_chemotherapy_treatment_regimens_7+3 (Cytarabine, Idarubicin)|HiDAC|Decitabine"
"COG-AAML1031 (IT/IV Cytarabine, Daunorubicin, Etoposide, Mitoxantrone +/- Bortezomib or Sorafenib)|ADE (Cytarabine, Daunorubicin & Etoposide)|FLAG (Fludarabine, High-dose Cytarabine, G-CSF)|Busulfan, Cyclophosphamide",treatment,list_unique_chemotherapy_treatment_regimens,"treatment_list_unique_chemotherapy_treatment_regimens_COG-AAML1031 (IT/IV Cytarabine, Daunorubicin, Etoposide, Mitoxantrone +/- Bortezomib or Sorafenib)|ADE (Cytarabine, Daunorubicin & Etoposide)|FLAG (Fludarabine, High-dose Cytarabine, G-CSF)|Busulfan, Cyclophosphamide"
CPX-351 (Liposomal Cytarabine + Daunorubicin)|Decitabine|Incyte trial (azacitidine and JAK 1 inhibitor),treatment,list_unique_chemotherapy_treatment_regimens,treatment_list_unique_chemotherapy_treatment_regimens_CPX-351 (Liposomal Cytarabine + Daunorubicin)|Decitabine|Incyte trial (azacitidine and JAK 1 inhibitor)
"FLAG (Fludarabine, High-dose Cytarabine, G-CSF)|Busulfan, Cyclophosphamide, Thymoglobulin|Etoposide|COG-AAML0531 (Cytarabine, Daunorubicin, Etoposide, L-Asparaginase, Mitoxantrone +/- Gemtuzumab)|Doxorubicin",treatment,list_unique_chemotherapy_treatment_regimens,"treatment_list_unique_chemotherapy_treatment_regimens_FLAG (Fludarabine, High-dose Cytarabine, G-CSF)|Busulfan, Cyclophosphamide, Thymoglobulin|Etoposide|COG-AAML0531 (Cytarabine, Daunorubicin, Etoposide, L-Asparaginase, Mitoxantrone +/- Gemtuzumab)|Doxorubicin"
Ruxolitinib|Hydroxyurea,treatment,list_unique_chemotherapy_treatment_regimens,treatment_list_unique_chemotherapy_treatment_regimens_Ruxolitinib|Hydroxyurea
"Busulfan, Fludarabine|7+3 (Cytarabine, Idarubicin)|HiDAC|AG-221|Azacitidine",treatment,list_unique_chemotherapy_treatment_regimens,"treatment_list_unique_chemotherapy_treatment_regimens_Busulfan, Fludarabine|7+3 (Cytarabine, Idarubicin)|HiDAC|AG-221|Azacitidine"
"7+3 (Cytarabine, Idarubicin)|Clofarabine, Cytarabine",treatment,list_unique_chemotherapy_treatment_regimens,"treatment_list_unique_chemotherapy_treatment_regimens_7+3 (Cytarabine, Idarubicin)|Clofarabine, Cytarabine"
"Bellicum Trial (Flu/Cy/TBI + ATG + Rituximab then BPX-501)|7+3 (Cytarabine, Idarubicin)|HiDAC|FLAG-IDA (Cytarabine, Filgrastim, Fludarabine, Idarubicin)|MEC (Cytarabine, Etoposide, Mitoxantrone)",treatment,list_unique_chemotherapy_treatment_regimens,"treatment_list_unique_chemotherapy_treatment_regimens_Bellicum Trial (Flu/Cy/TBI + ATG + Rituximab then BPX-501)|7+3 (Cytarabine, Idarubicin)|HiDAC|FLAG-IDA (Cytarabine, Filgrastim, Fludarabine, Idarubicin)|MEC (Cytarabine, Etoposide, Mitoxantrone)"
"7+3 (Cytarabine, Idarubicin)|Venetoclax (ABT-199), Azacitidine|Fludarabine, Cyclophosphamide, TBI",treatment,list_unique_chemotherapy_treatment_regimens,"treatment_list_unique_chemotherapy_treatment_regimens_7+3 (Cytarabine, Idarubicin)|Venetoclax (ABT-199), Azacitidine|Fludarabine, Cyclophosphamide, TBI"
AG-120|Decitabine,treatment,list_unique_chemotherapy_treatment_regimens,treatment_list_unique_chemotherapy_treatment_regimens_AG-120|Decitabine
"Lenalidomide|Azacitidine|Decitabine|Clofarabine, Cytarabine",treatment,list_unique_chemotherapy_treatment_regimens,"treatment_list_unique_chemotherapy_treatment_regimens_Lenalidomide|Azacitidine|Decitabine|Clofarabine, Cytarabine"
"COG-AAML1031 (IT/IV Cytarabine, Daunorubicin, Etoposide, Mitoxantrone +/- Bortezomib or Sorafenib)|Cytarabine|Unknown|MiDAC",treatment,list_unique_chemotherapy_treatment_regimens,"treatment_list_unique_chemotherapy_treatment_regimens_COG-AAML1031 (IT/IV Cytarabine, Daunorubicin, Etoposide, Mitoxantrone +/- Bortezomib or Sorafenib)|Cytarabine|Unknown|MiDAC"
"COG-AAML1031 (IT/IV Cytarabine, Daunorubicin, Etoposide, Mitoxantrone +/- Bortezomib or Sorafenib)|Cytarabine|FLAG (Fludarabine, High-dose Cytarabine, G-CSF)|Busulfan, Cyclophosphamide",treatment,list_unique_chemotherapy_treatment_regimens,"treatment_list_unique_chemotherapy_treatment_regimens_COG-AAML1031 (IT/IV Cytarabine, Daunorubicin, Etoposide, Mitoxantrone +/- Bortezomib or Sorafenib)|Cytarabine|FLAG (Fludarabine, High-dose Cytarabine, G-CSF)|Busulfan, Cyclophosphamide"
"7+3 (Cytarabine, Idarubicin)|AG-221|FLAG-IDA (Cytarabine, Filgrastim, Fludarabine, Idarubicin)",treatment,list_unique_chemotherapy_treatment_regimens,"treatment_list_unique_chemotherapy_treatment_regimens_7+3 (Cytarabine, Idarubicin)|AG-221|FLAG-IDA (Cytarabine, Filgrastim, Fludarabine, Idarubicin)"
"3+7 (Cytarabine, Daunorubicin)|MiDAC|Hydroxyurea|Fludarabine, Melphalan, TBI, ATG",treatment,list_unique_chemotherapy_treatment_regimens,"treatment_list_unique_chemotherapy_treatment_regimens_3+7 (Cytarabine, Daunorubicin)|MiDAC|Hydroxyurea|Fludarabine, Melphalan, TBI, ATG"
Lenalidomide|Azacitidine,treatment,list_unique_chemotherapy_treatment_regimens,treatment_list_unique_chemotherapy_treatment_regimens_Lenalidomide|Azacitidine
"7+3 (Cytarabine, Idarubicin)|Azacitidine|CLAG-M (Cladribine, Cytarabine, Mitoxantrone, Filgrastim)|Hydroxyurea|Mitoxantrone",treatment,list_unique_chemotherapy_treatment_regimens,"treatment_list_unique_chemotherapy_treatment_regimens_7+3 (Cytarabine, Idarubicin)|Azacitidine|CLAG-M (Cladribine, Cytarabine, Mitoxantrone, Filgrastim)|Hydroxyurea|Mitoxantrone"
"Cyclophosphamide, Fludarabine, TBI|7+3 (Cytarabine, Idarubicin) plus Sorafenib",treatment,list_unique_chemotherapy_treatment_regimens,"treatment_list_unique_chemotherapy_treatment_regimens_Cyclophosphamide, Fludarabine, TBI|7+3 (Cytarabine, Idarubicin) plus Sorafenib"
"HiDAC|GCLAC (GCSF, Clofarabine & Cytarabine)|7+3 (Cytarabine, Idarubicin) plus Sorafenib|Fludarabine, Cyclophosphamide, TBI",treatment,list_unique_chemotherapy_treatment_regimens,"treatment_list_unique_chemotherapy_treatment_regimens_HiDAC|GCLAC (GCSF, Clofarabine & Cytarabine)|7+3 (Cytarabine, Idarubicin) plus Sorafenib|Fludarabine, Cyclophosphamide, TBI"
"HiDAC|FLAG-IDA (Cytarabine, Filgrastim, Fludarabine, Idarubicin)|Azacitidine|SWOG S1203 (7+3 +/- Vorinostat)|Bu/Cy/TBI",treatment,list_unique_chemotherapy_treatment_regimens,"treatment_list_unique_chemotherapy_treatment_regimens_HiDAC|FLAG-IDA (Cytarabine, Filgrastim, Fludarabine, Idarubicin)|Azacitidine|SWOG S1203 (7+3 +/- Vorinostat)|Bu/Cy/TBI"
"Busulfan, Fludarabine|7+3 (Cytarabine, Idarubicin)|HiDAC|CLAG (Cladribine, Cytarabine, Filgrastim)|Azacitidine|CLAG-M (Cladribine, Cytarabine, Mitoxantrone, Filgrastim)",treatment,list_unique_chemotherapy_treatment_regimens,"treatment_list_unique_chemotherapy_treatment_regimens_Busulfan, Fludarabine|7+3 (Cytarabine, Idarubicin)|HiDAC|CLAG (Cladribine, Cytarabine, Filgrastim)|Azacitidine|CLAG-M (Cladribine, Cytarabine, Mitoxantrone, Filgrastim)"
"Fludarabine, Melphalan|3+7 (Cytarabine, Daunorubicin)|MiDAC",treatment,list_unique_chemotherapy_treatment_regimens,"treatment_list_unique_chemotherapy_treatment_regimens_Fludarabine, Melphalan|3+7 (Cytarabine, Daunorubicin)|MiDAC"
"7+3 (Cytarabine, Idarubicin)|HiDAC|Fludarabine, Melphalan, ATG, Methotrexate",treatment,list_unique_chemotherapy_treatment_regimens,"treatment_list_unique_chemotherapy_treatment_regimens_7+3 (Cytarabine, Idarubicin)|HiDAC|Fludarabine, Melphalan, ATG, Methotrexate"
"7+3 (Cytarabine, Idarubicin)|HiDAC|Treo/Flu/TBI (Treosulfan, Fludarabine, Total Body Irradiation)",treatment,list_unique_chemotherapy_treatment_regimens,"treatment_list_unique_chemotherapy_treatment_regimens_7+3 (Cytarabine, Idarubicin)|HiDAC|Treo/Flu/TBI (Treosulfan, Fludarabine, Total Body Irradiation)"
"Fludarabine, Melphalan|3+7 (Cytarabine, Daunorubicin)|MiDAC|Midostaurin|Hydroxyurea",treatment,list_unique_chemotherapy_treatment_regimens,"treatment_list_unique_chemotherapy_treatment_regimens_Fludarabine, Melphalan|3+7 (Cytarabine, Daunorubicin)|MiDAC|Midostaurin|Hydroxyurea"
"7+3 (Cytarabine, Idarubicin) plus Sorafenib",treatment,list_unique_chemotherapy_treatment_regimens,"treatment_list_unique_chemotherapy_treatment_regimens_7+3 (Cytarabine, Idarubicin) plus Sorafenib"
"HiDAC|3+7 (Cytarabine, Daunorubicin)|Bu/Flu/TBI (Busulfan, Fludarabine, Total Body Irradiation)",treatment,list_unique_chemotherapy_treatment_regimens,"treatment_list_unique_chemotherapy_treatment_regimens_HiDAC|3+7 (Cytarabine, Daunorubicin)|Bu/Flu/TBI (Busulfan, Fludarabine, Total Body Irradiation)"
"3+7 (Cytarabine, Daunorubicin), Bortezomib|MiDAC|Fludarabine, Cytarabine|Ibrutinib",treatment,list_unique_chemotherapy_treatment_regimens,"treatment_list_unique_chemotherapy_treatment_regimens_3+7 (Cytarabine, Daunorubicin), Bortezomib|MiDAC|Fludarabine, Cytarabine|Ibrutinib"
"5+2 (Cytarabine, Idarubicin)|7+3 (Cytarabine, Idarubicin)|HAM (Cytarabine, Mitoxantrone)|Azacitidine|MEC (Cytarabine, Etoposide, Mitoxantrone)|Hydroxyurea",treatment,list_unique_chemotherapy_treatment_regimens,"treatment_list_unique_chemotherapy_treatment_regimens_5+2 (Cytarabine, Idarubicin)|7+3 (Cytarabine, Idarubicin)|HAM (Cytarabine, Mitoxantrone)|Azacitidine|MEC (Cytarabine, Etoposide, Mitoxantrone)|Hydroxyurea"
"Fludarabine, Melphalan|5+2 (Cytarabine, Idarubicin)|7+3 (Cytarabine, Idarubicin)|Donor Lymphocyte Infusion|FLAG-IDA (Cytarabine, Filgrastim, Fludarabine, Idarubicin)|Azacitidine|MEC (Cytarabine, Etoposide, Mitoxantrone)|Busulfan, Cyclophosphamide",treatment,list_unique_chemotherapy_treatment_regimens,"treatment_list_unique_chemotherapy_treatment_regimens_Fludarabine, Melphalan|5+2 (Cytarabine, Idarubicin)|7+3 (Cytarabine, Idarubicin)|Donor Lymphocyte Infusion|FLAG-IDA (Cytarabine, Filgrastim, Fludarabine, Idarubicin)|Azacitidine|MEC (Cytarabine, Etoposide, Mitoxantrone)|Busulfan, Cyclophosphamide"
"3+7 (Cytarabine, Daunorubicin)|MiDAC",treatment,list_unique_chemotherapy_treatment_regimens,"treatment_list_unique_chemotherapy_treatment_regimens_3+7 (Cytarabine, Daunorubicin)|MiDAC"
"7+3 (Cytarabine, Idarubicin)|Azacitidine|FLAG (Fludarabine, High-dose Cytarabine, G-CSF)",treatment,list_unique_chemotherapy_treatment_regimens,"treatment_list_unique_chemotherapy_treatment_regimens_7+3 (Cytarabine, Idarubicin)|Azacitidine|FLAG (Fludarabine, High-dose Cytarabine, G-CSF)"
"Azacitidine, Sorafenib|5+2 (Cytarabine, Idarubicin)|7+3 (Cytarabine, Idarubicin)",treatment,list_unique_chemotherapy_treatment_regimens,"treatment_list_unique_chemotherapy_treatment_regimens_Azacitidine, Sorafenib|5+2 (Cytarabine, Idarubicin)|7+3 (Cytarabine, Idarubicin)"
"HiDAC|3+7 (Cytarabine, Daunorubicin)|Hydroxyurea",treatment,list_unique_chemotherapy_treatment_regimens,"treatment_list_unique_chemotherapy_treatment_regimens_HiDAC|3+7 (Cytarabine, Daunorubicin)|Hydroxyurea"
"7+3 (Cytarabine, Idarubicin)|Busulfan, Fludarabine, Cyclophosphamide, Thymoglobulin (Bu/Flu/Cy/ATG)",treatment,list_unique_chemotherapy_treatment_regimens,"treatment_list_unique_chemotherapy_treatment_regimens_7+3 (Cytarabine, Idarubicin)|Busulfan, Fludarabine, Cyclophosphamide, Thymoglobulin (Bu/Flu/Cy/ATG)"
"Azacitidine, Sorafenib|Busulfan, Fludarabine|7+3 (Cytarabine, Idarubicin)|Gilteritinib (ASP2215)|Sorafenib|Cladribine, Cytarabine, Idarubicin",treatment,list_unique_chemotherapy_treatment_regimens,"treatment_list_unique_chemotherapy_treatment_regimens_Azacitidine, Sorafenib|Busulfan, Fludarabine|7+3 (Cytarabine, Idarubicin)|Gilteritinib (ASP2215)|Sorafenib|Cladribine, Cytarabine, Idarubicin"
Lenalidomide|Decitabine,treatment,list_unique_chemotherapy_treatment_regimens,treatment_list_unique_chemotherapy_treatment_regimens_Lenalidomide|Decitabine
Decitabine|Hydroxyurea,treatment,list_unique_chemotherapy_treatment_regimens,treatment_list_unique_chemotherapy_treatment_regimens_Decitabine|Hydroxyurea
"HiDAC|3+7 (Cytarabine, Daunorubicin)|Treo/Flu/TBI (Treosulfan, Fludarabine, Total Body Irradiation)",treatment,list_unique_chemotherapy_treatment_regimens,"treatment_list_unique_chemotherapy_treatment_regimens_HiDAC|3+7 (Cytarabine, Daunorubicin)|Treo/Flu/TBI (Treosulfan, Fludarabine, Total Body Irradiation)"
"Bellicum Trial (Flu/Cy/TBI + ATG + Rituximab then BPX-501)|COG-AAML1031 (IT/IV Cytarabine, Daunorubicin, Etoposide, Mitoxantrone +/- Bortezomib or Sorafenib)|Donor Lymphocyte Infusion|HiDAC|Azacitidine|FLAG (Fludarabine, High-dose Cytarabine, G-CSF)|Busulfan, Cyclophosphamide|Clofarabine, Cytarabine",treatment,list_unique_chemotherapy_treatment_regimens,"treatment_list_unique_chemotherapy_treatment_regimens_Bellicum Trial (Flu/Cy/TBI + ATG + Rituximab then BPX-501)|COG-AAML1031 (IT/IV Cytarabine, Daunorubicin, Etoposide, Mitoxantrone +/- Bortezomib or Sorafenib)|Donor Lymphocyte Infusion|HiDAC|Azacitidine|FLAG (Fludarabine, High-dose Cytarabine, G-CSF)|Busulfan, Cyclophosphamide|Clofarabine, Cytarabine"
"HAM (Cytarabine, Mitoxantrone)|3+7 (Cytarabine, Daunorubicin)|Sorafenib|Hydroxyurea",treatment,list_unique_chemotherapy_treatment_regimens,"treatment_list_unique_chemotherapy_treatment_regimens_HAM (Cytarabine, Mitoxantrone)|3+7 (Cytarabine, Daunorubicin)|Sorafenib|Hydroxyurea"
"FLAG-IDA (Cytarabine, Filgrastim, Fludarabine, Idarubicin)|MEC (Cytarabine, Etoposide, Mitoxantrone)",treatment,list_unique_chemotherapy_treatment_regimens,"treatment_list_unique_chemotherapy_treatment_regimens_FLAG-IDA (Cytarabine, Filgrastim, Fludarabine, Idarubicin)|MEC (Cytarabine, Etoposide, Mitoxantrone)"
"Bellicum Trial (Flu/Cy/TBI + ATG + Rituximab then BPX-501)|7+3 (Cytarabine, Idarubicin)|FLAG-IDA (Cytarabine, Filgrastim, Fludarabine, Idarubicin)|MiDAC|Hydroxyurea|Cytarabine, Methotrexate",treatment,list_unique_chemotherapy_treatment_regimens,"treatment_list_unique_chemotherapy_treatment_regimens_Bellicum Trial (Flu/Cy/TBI + ATG + Rituximab then BPX-501)|7+3 (Cytarabine, Idarubicin)|FLAG-IDA (Cytarabine, Filgrastim, Fludarabine, Idarubicin)|MiDAC|Hydroxyurea|Cytarabine, Methotrexate"
"ADE (Cytarabine, Daunorubicin & Etoposide)",treatment,list_unique_chemotherapy_treatment_regimens,"treatment_list_unique_chemotherapy_treatment_regimens_ADE (Cytarabine, Daunorubicin & Etoposide)"
Azacitidine|Momelotinib,treatment,list_unique_chemotherapy_treatment_regimens,treatment_list_unique_chemotherapy_treatment_regimens_Azacitidine|Momelotinib
"ADE (Cytarabine, Daunorubicin & Etoposide)|Cytarabine",treatment,list_unique_chemotherapy_treatment_regimens,"treatment_list_unique_chemotherapy_treatment_regimens_ADE (Cytarabine, Daunorubicin & Etoposide)|Cytarabine"
"5+2 (Cytarabine, Idarubicin)|Decitabine",treatment,list_unique_chemotherapy_treatment_regimens,"treatment_list_unique_chemotherapy_treatment_regimens_5+2 (Cytarabine, Idarubicin)|Decitabine"
Vidaza|Rituximab|Decitabine,treatment,list_unique_chemotherapy_treatment_regimens,treatment_list_unique_chemotherapy_treatment_regimens_Vidaza|Rituximab|Decitabine
"Fludarabine, Melphalan|7+3 (Cytarabine, Idarubicin)|MiDAC|Hydroxyurea",treatment,list_unique_chemotherapy_treatment_regimens,"treatment_list_unique_chemotherapy_treatment_regimens_Fludarabine, Melphalan|7+3 (Cytarabine, Idarubicin)|MiDAC|Hydroxyurea"
"7+3 (Cytarabine, Idarubicin)|Sorafenib|Ponatinib",treatment,list_unique_chemotherapy_treatment_regimens,"treatment_list_unique_chemotherapy_treatment_regimens_7+3 (Cytarabine, Idarubicin)|Sorafenib|Ponatinib"
"HiDAC|3+7 (Cytarabine, Daunorubicin)|FLAG-IDA (Cytarabine, Filgrastim, Fludarabine, Idarubicin)|Busulfan, Cyclophosphamide",treatment,list_unique_chemotherapy_treatment_regimens,"treatment_list_unique_chemotherapy_treatment_regimens_HiDAC|3+7 (Cytarabine, Daunorubicin)|FLAG-IDA (Cytarabine, Filgrastim, Fludarabine, Idarubicin)|Busulfan, Cyclophosphamide"
